"","name","mass","hd","hip","teff","ra","dec","min_time","max_time","time_span","rms","nsets","ndata","telescopes","fn"
"20","BD+20 2457",2.8,NA,NA,4137,154.186905,19.891409,2453033.46852,2454866.44103,1832.97250999976,284.79,1,37,"HET","BD+202457.sys"
"21","BD-08 2823",0.74,NA,"HIP 49067",4746,150.198837,-9.51668,2453007.83343,2454848.79967,1840.96623999998,11.1,1,83,"ESO","BD-082823.sys"
"22","BD-10 3166",1.01,NA,NA,5393,164.619936,-10.770373,2451172.079988,2453398.001782,2225.92179400008,44.33,1,31,"KECK","BD-103166.sys"
"23","BD-13 2130",1,NA,NA,NA,114.288492,-13.906663,2452593.84866,2454122.71593,1528.86726999981,68.82,2,46,"6M, EULER","BD-132130.sys"
"24","BD-17 63",0.74,NA,"HIP 2247",4714,7.142942,-16.226345,2452943.610509,2454703.858883,1760.24837400019,0.13,1,26,"6M","BD-1763.sys"
"25","CoRoT-1",0.95,NA,NA,5950,102.079887,-3.102147,2454184.30498,2454381.63151,197.326530000195,0.18,1,9,"ELODIE","CoRoT-1.sys"
"26","CoRoT-16",1.1,NA,NA,5650,278.524689,-6.002595,2455012.9101,2455430.78491,417.87480999995,71.88,2,31,"KECK, ESO","CoRoT-16.sys"
"27","CoRoT-18",0.95,NA,NA,5440,98.172409,-0.031586,2455484.6704,2455590.7061,106.035699999891,390.52,3,34,"ELODIE, ESO, NOT","CoRoT-18.sys"
"28","CoRoT-19",1.21,NA,NA,6090,97.033585,-0.170681,2455513.6044,2455627.6633,114.058900000062,94.2,4,32,"ELODIE, MCDONALD, ESO, NOT","CoRoT-19.sys"
"29","CoRoT-2",0.96,NA,NA,5625,291.777069,1.383714,2454295.48408,2454378.56018,83.0761000001803,281.29,5,55,"ELODIE, 6M, EULER, ELODIE, 6M","CoRoT-2.sys"
"30","CoRoT-23",1.14,NA,NA,5900,279.782623,4.357806,2455657.87089,2455716.84835,58.9774600001983,284.71,1,10,"ESO","CoRoT-23.sys"
"31","CoRoT-25",1.09,NA,NA,6040,280.629669,6.513829,2455012.823144,2455826.55967,813.736525999848,35.12,2,34,"KECK, ESO","CoRoT-25.sys"
"32","CoRoT-26",1.09,NA,NA,5590,279.750519,6.969787,2455022.63404,2455827.56043,804.926390000153,62.59,1,24,"ESO","CoRoT-26.sys"
"33","CoRoT-27",1.05,NA,NA,5900,278.495819,5.538462,2456092.85927,2456161.61887,68.7595999999903,1005.74,1,13,"ESO","CoRoT-27.sys"
"34","CoRoT-3",1.37,NA,NA,6740,292.055267,0.12182,2454309.5696,2454704.685277,395.115677000023,1361.25,6,46,"6M, JENSCH, ELODIE, TELESCOPE, 6M, EULER","CoRoT-3.sys"
"35","CoRoT-4",1.16,NA,NA,6190,102.194664,-0.672774,2454405.6545,2454507.3778,101.723299999721,48.38,2,20,"ELODIE, 6M","CoRoT-4.sys"
"36","CoRoT-5",1,NA,NA,6100,101.277254,0.815239,2454463.4939,2454805.748602,342.254701999947,53.9,2,19,"ELODIE, 6M","CoRoT-5.sys"
